Pclass,Name,Sex,Age,Fare,Cabin,Embarked,Title,FareCategory,family_size,is_alone,AgeGroup,Survived
3,"Braund, Owen Harris",male,22.0,7.25,U,S,Mr,Low,2,0,YoungAdult,0
1,"Cumings, John Bradley (Florence Briggs Thayer)",female,38.0,71.2833,C,C,Mrs,VeryHigh,2,0,Adult,1
3,"Heikkinen, Laina",female,26.0,7.925,U,S,Miss,Low,1,1,YoungAdult,1
1,"Futrelle, Jacques Heath (Lily May Peel)",female,35.0,53.1,C,S,Mrs,High,2,0,YoungAdult,1
3,"Allen, William Henry",male,35.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Moran, James",male,32.25215146299484,8.4583,U,Q,Mr,Medium,1,1,YoungAdult,0
1,"McCarthy, Timothy J",male,54.0,51.8625,E,S,Mr,High,1,1,Adult,0
3,"Palsson, Gosta Leonard",male,2.0,21.075,U,S,Master,High,5,0,Child,0
3,"Johnson, Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,11.1333,U,S,Mrs,Medium,3,0,YoungAdult,1
2,"Nasser, Nicholas (Adele Achem)",female,14.0,30.0708,U,C,Mrs,High,2,0,Teen,1
3,"Sandstrom, Marguerite Rut",female,4.0,16.7,G,S,Miss,High,3,0,Child,1
1,"Bonnell, Elizabeth",female,58.0,26.55,C,S,Miss,High,1,1,Adult,1
3,"Saundercock, William Henry",male,20.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Andersson, Anders Johan",male,39.0,31.275,U,S,Mr,High,7,0,Adult,0
3,"Vestrom, Hulda Amanda Adolfina",female,14.0,7.8542,U,S,Miss,Low,1,1,Teen,0
2,"Hewlett, (Mary D Kingcome) ",female,55.0,16.0,U,S,Mrs,High,1,1,Adult,1
3,"Rice, Eugene",male,2.0,29.125,U,Q,Master,High,6,0,Child,0
2,"Williams, Charles Eugene",male,32.25215146299484,13.0,U,S,Mr,Medium,1,1,YoungAdult,1
3,"Vander Planke, Julius (Emelia Maria Vandemoortele)",female,31.0,18.0,U,S,Mrs,High,2,0,YoungAdult,0
3,"Masselmani, Fatima",female,36.91812865497076,7.225,U,C,Mrs,Low,1,1,Adult,1
2,"Fynney, Joseph J",male,35.0,26.0,U,S,Mr,High,1,1,YoungAdult,0
2,"Beesley, Lawrence",male,34.0,13.0,D,S,Mr,Medium,1,1,YoungAdult,1
3,"McGowan, Anna ""Annie""",female,15.0,8.0292,U,Q,Miss,Low,1,1,Teen,1
1,"Sloper, William Thompson",male,28.0,35.5,A,S,Mr,High,1,1,YoungAdult,1
3,"Palsson, Torborg Danira",female,8.0,21.075,U,S,Miss,High,5,0,Child,0
3,"Asplund, Carl Oscar (Selma Augusta Emilia Johansson)",female,38.0,31.3875,U,S,Mrs,High,7,0,Adult,1
3,"Emir, Farred Chehab",male,32.25215146299484,7.225,U,C,Mr,Low,1,1,YoungAdult,0
1,"Fortune, Charles Alexander",male,19.0,263.0,C,S,Mr,VeryHigh,6,0,Teen,0
3,"O'Dwyer, Ellen ""Nellie""",female,21.8243661971831,7.8792,U,Q,Miss,Low,1,1,YoungAdult,1
3,"Todoroff, Lalio",male,32.25215146299484,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
1,"Uruchurtu, Manuel E",male,40.0,27.7208,U,C,Royal,High,1,1,Adult,0
1,"Spencer, William Augustus (Marie Eugenie)",female,36.91812865497076,146.5208,B,C,Mrs,VeryHigh,2,0,Adult,1
3,"Glynn, Mary Agatha",female,21.8243661971831,7.75,U,Q,Miss,Low,1,1,YoungAdult,1
2,"Wheadon, Edward H",male,66.0,10.5,U,S,Mr,Medium,1,1,Senior,0
1,"Meyer, Edgar Joseph",male,28.0,82.1708,U,C,Mr,VeryHigh,2,0,YoungAdult,0
1,"Holverson, Alexander Oskar",male,42.0,52.0,U,S,Mr,High,2,0,Adult,0
3,"Mamee, Hanna",male,32.25215146299484,7.2292,U,C,Mr,Low,1,1,YoungAdult,1
3,"Cann, Ernest Charles",male,21.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Vander Planke, Augusta Maria",female,18.0,18.0,U,S,Miss,High,3,0,Teen,0
3,"Nicola-Yarred, Jamila",female,14.0,11.2417,U,C,Miss,Medium,2,0,Teen,1
3,"Ahlin, Johan (Johanna Persdotter Larsson)",female,40.0,9.475,U,S,Mrs,Medium,2,0,Adult,0
2,"Turpin, William John Robert (Dorothy Ann Wonnacott)",female,27.0,21.0,U,S,Mrs,High,2,0,YoungAdult,0
3,"Kraeff, Theodor",male,32.25215146299484,7.8958,U,C,Mr,Low,1,1,YoungAdult,0
2,"Laroche, Simonne Marie Anne Andree",female,3.0,41.5792,U,C,Miss,High,4,0,Child,1
3,"Devaney, Margaret Delia",female,19.0,7.8792,U,Q,Miss,Low,1,1,Teen,1
3,"Rogers, William John",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Lennon, Denis",male,32.25215146299484,15.5,U,Q,Mr,High,2,0,YoungAdult,0
3,"O'Driscoll, Bridget",female,21.8243661971831,7.75,U,Q,Miss,Low,1,1,YoungAdult,1
3,"Samaan, Youssef",male,32.25215146299484,21.6792,U,C,Mr,High,3,0,YoungAdult,0
3,"Arnold-Franchi, Josef (Josefine Franchi)",female,18.0,17.8,U,S,Mrs,High,2,0,Teen,0
3,"Panula, Juha Niilo",male,7.0,39.6875,U,S,Master,High,6,0,Child,0
3,"Nosworthy, Richard Cater",male,21.0,7.8,U,S,Mr,Low,1,1,YoungAdult,0
1,"Harper, Henry Sleeper (Myna Haxtun)",female,49.0,76.7292,D,C,Mrs,VeryHigh,2,0,Adult,1
2,"Faunthorpe, Lizzie (Elizabeth Anne Wilkinson)",female,29.0,26.0,U,S,Mrs,High,2,0,YoungAdult,1
1,"Ostby, Engelhart Cornelius",male,65.0,61.9792,B,C,Mr,VeryHigh,2,0,Senior,0
1,"Woolner, Hugh",male,32.25215146299484,35.5,C,S,Mr,High,1,1,YoungAdult,1
2,"Rugg, Emily",female,21.0,10.5,U,S,Miss,Medium,1,1,YoungAdult,1
3,"Novel, Mansouer",male,28.5,7.2292,U,C,Mr,Low,1,1,YoungAdult,0
2,"West, Constance Mirium",female,5.0,27.75,U,S,Miss,High,4,0,Child,1
3,"Goodwin, William Frederick",male,11.0,46.9,U,S,Master,High,8,0,Child,0
3,"Sirayanian, Orsen",male,22.0,7.2292,U,C,Mr,Low,1,1,YoungAdult,0
1,"Icard, Amelie",female,38.0,80.0,B,S,Miss,VeryHigh,1,1,Adult,1
1,"Harris, Henry Birkhardt",male,45.0,83.475,C,S,Mr,VeryHigh,2,0,Adult,0
3,"Skoog, Harald",male,4.0,27.9,U,S,Master,High,6,0,Child,0
1,"Stewart, Albert A",male,32.25215146299484,27.7208,U,C,Mr,High,1,1,YoungAdult,0
3,"Moubarek, Gerios",male,5.482641509433963,15.2458,U,C,Master,High,3,0,Child,1
2,"Nye, (Elizabeth Ramell)",female,29.0,10.5,F,S,Mrs,Medium,1,1,YoungAdult,1
3,"Crease, Ernest James",male,19.0,8.1583,U,S,Mr,Medium,1,1,Teen,0
3,"Andersson, Erna Alexandra",female,17.0,7.925,U,S,Miss,Low,7,0,Teen,1
3,"Kink, Vincenz",male,26.0,8.6625,U,S,Mr,Medium,3,0,YoungAdult,0
2,"Jenkin, Stephen Curnow",male,32.0,10.5,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Goodwin, Lillian Amy",female,16.0,46.9,U,S,Miss,High,8,0,Teen,0
2,"Hood, Ambrose Jr",male,21.0,73.5,U,S,Mr,VeryHigh,1,1,YoungAdult,0
3,"Chronopoulos, Apostolos",male,26.0,14.4542,U,C,Mr,Medium,2,0,YoungAdult,0
3,"Bing, Lee",male,32.0,56.4958,U,S,Mr,High,1,1,YoungAdult,1
3,"Moen, Sigurd Hansen",male,25.0,7.65,F,S,Mr,Low,1,1,YoungAdult,0
3,"Staneff, Ivan",male,32.25215146299484,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
3,"Moutal, Rahamin Haim",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
2,"Caldwell, Alden Gates",male,0.83,29.0,U,S,Master,High,3,0,Child,1
3,"Dowdell, Elizabeth",female,30.0,12.475,U,S,Miss,Medium,1,1,YoungAdult,1
3,"Waelens, Achille",male,22.0,9.0,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Sheerlinck, Jan Baptist",male,29.0,9.5,U,S,Mr,Medium,1,1,YoungAdult,1
3,"McDermott, Brigdet Delia",female,21.8243661971831,7.7875,U,Q,Miss,Low,1,1,YoungAdult,1
1,"Carrau, Francisco M",male,28.0,47.1,U,S,Mr,High,1,1,YoungAdult,0
2,"Ilett, Bertha",female,17.0,10.5,U,S,Miss,Medium,1,1,Teen,1
3,"Backstrom, Karl Alfred (Maria Mathilda Gustafsson)",female,33.0,15.85,U,S,Mrs,High,4,0,YoungAdult,1
3,"Ford, William Neal",male,16.0,34.375,U,S,Mr,High,5,0,Teen,0
3,"Slocovski, Selman Francis",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
1,"Fortune, Mabel Helen",female,23.0,263.0,C,S,Miss,VeryHigh,6,0,YoungAdult,1
3,"Celotti, Francesco",male,24.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Christmann, Emil",male,29.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Andreasson, Paul Edvin",male,20.0,7.8542,U,S,Mr,Low,1,1,YoungAdult,0
1,"Chaffee, Herbert Fuller",male,46.0,61.175,E,S,Mr,VeryHigh,2,0,Adult,0
3,"Dean, Bertram Frank",male,26.0,20.575,U,S,Mr,High,4,0,YoungAdult,0
3,"Coxon, Daniel",male,59.0,7.25,U,S,Mr,Low,1,1,Adult,0
3,"Shorney, Charles Joseph",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
1,"Goldschmidt, George B",male,71.0,34.6542,A,C,Mr,High,1,1,Senior,0
1,"Greenfield, William Bertram",male,23.0,63.3583,D,C,Mr,VeryHigh,2,0,YoungAdult,1
2,"Doling, John T (Ada Julia Bone)",female,34.0,23.0,U,S,Mrs,High,2,0,YoungAdult,1
2,"Kantor, Sinai",male,34.0,26.0,U,S,Mr,High,2,0,YoungAdult,0
3,"Petranec, Matilda",female,28.0,7.8958,U,S,Miss,Low,1,1,YoungAdult,0
3,"Petroff, Pastcho (""Pentcho"")",male,32.25215146299484,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
1,"White, Richard Frasar",male,21.0,77.2875,D,S,Mr,VeryHigh,2,0,YoungAdult,0
3,"Johansson, Gustaf Joel",male,33.0,8.6542,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Gustafsson, Anders Vilhelm",male,37.0,7.925,U,S,Mr,Low,3,0,Adult,0
3,"Mionoff, Stoytcho",male,28.0,7.8958,U,S,Mr,Low,1,1,YoungAdult,0
3,"Salkjelsvik, Anna Kristine",female,21.0,7.65,U,S,Miss,Low,1,1,YoungAdult,1
3,"Moss, Albert Johan",male,32.25215146299484,7.775,U,S,Mr,Low,1,1,YoungAdult,1
3,"Rekic, Tido",male,38.0,7.8958,U,S,Mr,Low,1,1,Adult,0
3,"Moran, Bertha",female,21.8243661971831,24.15,U,Q,Miss,High,2,0,YoungAdult,1
1,"Porter, Walter Chamberlain",male,47.0,52.0,C,S,Mr,High,1,1,Adult,0
3,"Zabour, Hileni",female,14.5,14.4542,U,C,Miss,Medium,2,0,Teen,0
3,"Barton, David John",male,22.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Jussila, Katriina",female,20.0,9.825,U,S,Miss,Medium,2,0,YoungAdult,0
3,"Attalah, Malake",female,17.0,14.4583,U,C,Miss,High,1,1,Teen,0
3,"Pekoniemi, Edvard",male,21.0,7.925,U,S,Mr,Low,1,1,YoungAdult,0
3,"Connors, Patrick",male,70.5,7.75,U,Q,Mr,Low,1,1,Senior,0
2,"Turpin, William John Robert",male,29.0,21.0,U,S,Mr,High,2,0,YoungAdult,0
1,"Baxter, Quigg Edmond",male,24.0,247.5208,B,C,Mr,VeryHigh,2,0,YoungAdult,0
3,"Andersson, Ellis Anna Maria",female,2.0,31.275,U,S,Miss,High,7,0,Child,0
2,"Hickman, Stanley George",male,21.0,73.5,U,S,Mr,VeryHigh,3,0,YoungAdult,0
3,"Moore, Leonard Charles",male,32.25215146299484,8.05,U,S,Mr,Low,1,1,YoungAdult,0
2,"Nasser, Nicholas",male,32.5,30.0708,U,C,Mr,High,2,0,YoungAdult,0
2,"Webber, Susan",female,32.5,13.0,E,S,Miss,Medium,1,1,YoungAdult,1
1,"White, Percival Wayland",male,54.0,77.2875,D,S,Mr,VeryHigh,2,0,Adult,0
3,"Nicola-Yarred, Elias",male,12.0,11.2417,U,C,Master,Medium,2,0,Child,1
3,"McMahon, Martin",male,32.25215146299484,7.75,U,Q,Mr,Low,1,1,YoungAdult,0
3,"Madsen, Fridtjof Arne",male,24.0,7.1417,U,S,Mr,Low,1,1,YoungAdult,1
3,"Peter, Anna",female,21.8243661971831,22.3583,F,C,Miss,High,3,0,YoungAdult,1
3,"Ekstrom, Johan",male,45.0,6.975,U,S,Mr,Low,1,1,Adult,0
3,"Drazenoic, Jozef",male,33.0,7.8958,U,C,Mr,Low,1,1,YoungAdult,0
3,"Coelho, Domingos Fernandeo",male,20.0,7.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Robins, Alexander A (Grace Charity Laury)",female,47.0,14.5,U,S,Mrs,High,2,0,Adult,0
2,"Weisz, Leopold (Mathilde Francoise Pede)",female,29.0,26.0,U,S,Mrs,High,2,0,YoungAdult,1
2,"Sobey, Samuel James Hayden",male,25.0,13.0,U,S,Mr,Medium,1,1,YoungAdult,0
2,"Richard, Emile",male,23.0,15.0458,U,C,Mr,High,1,1,YoungAdult,0
1,"Newsom, Helen Monypeny",female,19.0,26.2833,D,S,Miss,High,3,0,Teen,1
1,"Futrelle, Jacques Heath",male,37.0,53.1,C,S,Mr,High,2,0,Adult,0
3,"Osen, Olaf Elon",male,16.0,9.2167,U,S,Mr,Medium,1,1,Teen,0
1,"Giglio, Victor",male,24.0,79.2,B,C,Mr,VeryHigh,1,1,YoungAdult,0
3,"Boulos, Joseph (Sultana)",female,36.91812865497076,15.2458,U,C,Mrs,High,3,0,Adult,0
3,"Nysten, Anna Sofia",female,22.0,7.75,U,S,Miss,Low,1,1,YoungAdult,1
3,"Hakkarainen, Pekka Pietari (Elin Matilda Dolck)",female,24.0,15.85,U,S,Mrs,High,2,0,YoungAdult,1
3,"Burke, Jeremiah",male,19.0,6.75,U,Q,Mr,Low,1,1,Teen,0
2,"Andrew, Edgardo Samuel",male,18.0,11.5,U,S,Mr,Medium,1,1,Teen,0
2,"Nicholls, Joseph Charles",male,19.0,36.75,U,S,Mr,High,3,0,Teen,0
3,"Andersson, August Edvard (""Wennerstrom"")",male,27.0,7.7958,U,S,Mr,Low,1,1,YoungAdult,1
3,"Ford, Robina Maggie ""Ruby""",female,9.0,34.375,U,S,Miss,High,5,0,Child,0
2,"Navratil, Michel (""Louis M Hoffman"")",male,36.5,26.0,F,S,Mr,High,3,0,Adult,0
2,"Byles, Thomas Roussel Davids",male,42.0,13.0,U,S,Rare,Medium,1,1,Adult,0
2,"Bateman, Robert James",male,51.0,12.525,U,S,Rare,Medium,1,1,Adult,0
1,"Pears, Thomas (Edith Wearne)",female,22.0,66.6,C,S,Mrs,VeryHigh,2,0,YoungAdult,1
3,"Meo, Alfonzo",male,55.5,8.05,U,S,Mr,Low,1,1,Adult,0
3,"van Billiard, Austin Blyler",male,40.5,14.5,U,S,Mr,High,3,0,Adult,0
3,"Olsen, Ole Martin",male,32.25215146299484,7.3125,U,S,Mr,Low,1,1,YoungAdult,0
1,"Williams, Charles Duane",male,51.0,61.3792,U,C,Mr,VeryHigh,2,0,Adult,0
3,"Gilnagh, Katherine ""Katie""",female,16.0,7.7333,U,Q,Miss,Low,1,1,Teen,1
3,"Corn, Harry",male,30.0,8.05,U,S,Mr,Low,1,1,YoungAdult,0
3,"Smiljanic, Mile",male,32.25215146299484,8.6625,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Sage, Thomas Henry",male,5.482641509433963,69.55,U,S,Master,VeryHigh,11,0,Child,0
3,"Cribb, John Hatfield",male,44.0,16.1,U,S,Mr,High,2,0,Adult,0
2,"Watt, James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,15.75,U,S,Mrs,High,1,1,Adult,1
3,"Bengtsson, John Viktor",male,26.0,7.775,U,S,Mr,Low,1,1,YoungAdult,0
3,"Calic, Jovo",male,17.0,8.6625,U,S,Mr,Medium,1,1,Teen,0
3,"Panula, Eino Viljami",male,1.0,39.6875,U,S,Master,High,6,0,Child,0
3,"Goldsmith, Frank John William ""Frankie""",male,9.0,20.525,U,S,Master,High,3,0,Child,1
1,"Chibnall, (Edith Martha Bowerman)",female,36.91812865497076,55.0,E,S,Mrs,High,2,0,Adult,1
3,"Skoog, William (Anna Bernhardina Karlsson)",female,45.0,27.9,U,S,Mrs,High,6,0,Adult,0
1,"Baumann, John D",male,32.25215146299484,25.925,U,S,Mr,High,1,1,YoungAdult,0
3,"Ling, Lee",male,28.0,56.4958,U,S,Mr,High,1,1,YoungAdult,0
1,"Van der hoef, Wyckoff",male,61.0,33.5,B,S,Mr,High,1,1,Senior,0
3,"Rice, Arthur",male,4.0,29.125,U,Q,Master,High,6,0,Child,0
3,"Johnson, Eleanor Ileen",female,1.0,11.1333,U,S,Miss,Medium,3,0,Child,1
3,"Sivola, Antti Wilhelm",male,21.0,7.925,U,S,Mr,Low,1,1,YoungAdult,0
1,"Smith, James Clinch",male,56.0,30.6958,A,C,Mr,High,1,1,Adult,0
3,"Klasen, Klas Albin",male,18.0,7.8542,U,S,Mr,Low,3,0,Teen,0
3,"Lefebre, Henry Forbes",male,5.482641509433963,25.4667,U,S,Master,High,5,0,Child,0
1,"Isham, Ann Elizabeth",female,50.0,28.7125,C,C,Miss,High,1,1,Adult,0
2,"Hale, Reginald",male,30.0,13.0,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Leonard, Lionel",male,36.0,0.0,U,S,Mr,Low,1,1,Adult,0
3,"Sage, Constance Gladys",female,21.8243661971831,69.55,U,S,Miss,VeryHigh,11,0,YoungAdult,0
2,"Pernot, Rene",male,32.25215146299484,15.05,U,C,Mr,High,1,1,YoungAdult,0
3,"Asplund, Clarence Gustaf Hugo",male,9.0,31.3875,U,S,Master,High,7,0,Child,0
2,"Becker, Richard F",male,1.0,39.0,F,S,Master,High,4,0,Child,1
3,"Kink-Heilmann, Luise Gretchen",female,4.0,22.025,U,S,Miss,High,3,0,Child,1
1,"Rood, Hugh Roscoe",male,32.25215146299484,50.0,A,S,Mr,High,1,1,YoungAdult,0
3,"O'Brien, Thomas (Johanna ""Hannah"" Godfrey)",female,36.91812865497076,15.5,U,Q,Mrs,High,2,0,Adult,1
1,"Romaine, Charles Hallace (""Mr C Rolmane"")",male,45.0,26.55,U,S,Mr,High,1,1,Adult,1
3,"Bourke, John",male,40.0,15.5,U,Q,Mr,High,3,0,Adult,0
3,"Turcin, Stjepan",male,36.0,7.8958,U,S,Mr,Low,1,1,Adult,0
2,"Pinsky, (Rosa)",female,32.0,13.0,U,S,Mrs,Medium,1,1,YoungAdult,1
2,"Carbines, William",male,19.0,13.0,U,S,Mr,Medium,1,1,Teen,0
3,"Andersen-Jensen, Carla Christine Nielsine",female,19.0,7.8542,U,S,Miss,Low,2,0,Teen,1
2,"Navratil, Michel M",male,3.0,26.0,F,S,Master,High,3,0,Child,1
1,"Brown, James Joseph (Margaret Tobin)",female,44.0,27.7208,B,C,Mrs,High,1,1,Adult,1
1,"Lurette, Elise",female,58.0,146.5208,B,C,Miss,VeryHigh,1,1,Adult,1
3,"Mernagh, Robert",male,32.25215146299484,7.75,U,Q,Mr,Low,1,1,YoungAdult,0
3,"Olsen, Karl Siegwart Andreas",male,42.0,8.4042,U,S,Mr,Medium,2,0,Adult,0
3,"Madigan, Margaret ""Maggie""",female,21.8243661971831,7.75,U,Q,Miss,Low,1,1,YoungAdult,1
2,"Yrois, Henriette (""Mrs Harbeck"")",female,24.0,13.0,U,S,Miss,Medium,1,1,YoungAdult,0
3,"Vande Walle, Nestor Cyriel",male,28.0,9.5,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Sage, Frederick",male,32.25215146299484,69.55,U,S,Mr,VeryHigh,11,0,YoungAdult,0
3,"Johanson, Jakob Alfred",male,34.0,6.4958,U,S,Mr,Low,1,1,YoungAdult,0
3,"Youseff, Gerious",male,45.5,7.225,U,C,Mr,Low,1,1,Adult,0
3,"Cohen, Gurshon ""Gus""",male,18.0,8.05,U,S,Mr,Low,1,1,Teen,1
3,"Strom, Telma Matilda",female,2.0,10.4625,G,S,Miss,Medium,2,0,Child,0
3,"Backstrom, Karl Alfred",male,32.0,15.85,U,S,Mr,High,2,0,YoungAdult,0
3,"Albimona, Nassef Cassem",male,26.0,18.7875,U,C,Mr,High,1,1,YoungAdult,1
3,"Carr, Helen ""Ellen""",female,16.0,7.75,U,Q,Miss,Low,1,1,Teen,1
1,"Blank, Henry",male,40.0,31.0,A,C,Mr,High,1,1,Adult,1
3,"Ali, Ahmed",male,24.0,7.05,U,S,Mr,Low,1,1,YoungAdult,0
2,"Cameron, Clear Annie",female,35.0,21.0,U,S,Miss,High,1,1,YoungAdult,1
3,"Perkin, John Henry",male,22.0,7.25,U,S,Mr,Low,1,1,YoungAdult,0
2,"Givard, Hans Kristensen",male,30.0,13.0,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Kiernan, Philip",male,32.25215146299484,7.75,U,Q,Mr,Low,2,0,YoungAdult,0
1,"Newell, Madeleine",female,31.0,113.275,D,C,Miss,VeryHigh,2,0,YoungAdult,1
3,"Honkanen, Eliina",female,27.0,7.925,U,S,Miss,Low,1,1,YoungAdult,1
2,"Jacobsohn, Sidney Samuel",male,42.0,27.0,U,S,Mr,High,2,0,Adult,0
1,"Bazzani, Albina",female,32.0,76.2917,D,C,Miss,VeryHigh,1,1,YoungAdult,1
2,"Harris, Walter",male,30.0,10.5,U,S,Mr,Medium,1,1,YoungAdult,0
3,"Sunderland, Victor Francis",male,16.0,8.05,U,S,Mr,Low,1,1,Teen,1
2,"Bracken, James H",male,27.0,13.0,U,S,Mr,Medium,1,1,YoungAdult,0
